Data	Mundo	Transação	Alterar	Novos pontos Premium	Mais informações
 jun 12, 12:33 	Mundo 73	 Transferir 	 6 	 2510 	Troca Premium: Madeira vendido (4123)
 jun 12, 12:23 	Mundo 73	 Transferir 	 9 	 2504 	Troca Premium: Argila vendido (8348)
 jun 12, 12:23 	Mundo 73	 Transferir 	 10 	 2495 	Troca Premium: Madeira vendido (7927)
 jun 12, 12:23 	Mundo 73	 Transferir 	 10 	 2485 	Troca Premium: Ferro vendido (7843)
 jun 12, 12:22 	Mundo 73	 Transferir 	 8 	 2475 	Troca Premium: Argila vendido (6539)
 jun 12, 12:21 	Mundo 73	 Transferir 	 9 	 2467 	Troca Premium: Ferro vendido (6367)
 jun 12, 12:21 	Mundo 73	 Transferir 	 16 	 2458 	Troca Premium: Madeira vendido (10970)
 jun 12, 12:17 	Mundo 73	 Transferir 	 5 	 2442 	Troca Premium: Ferro vendido (5155)
 jun 12, 12:17 	Mundo 73	 Transferir 	 5 	 2437 	Troca Premium: Madeira vendido (5136)
 jun 12, 12:17 	Mundo 73	 Transferir 	 6 	 2432 	Troca Premium: Argila vendido (6213)
 jun 12, 01:30 	Mundo 73	 Transferir 	 1 	 2426 	Troca Premium: Argila vendido (748)
 jun 12, 01:29 	Mundo 73	 Transferir 	 7 	 2425 	Troca Premium: Ferro vendido (2886)
 jun 12, 01:29 	Mundo 73	 Transferir 	 7 	 2418 	Troca Premium: Madeira vendido (3258)
 jun 12, 00:47 	Mundo 73	 Transferir 	 10 	 2411 	Troca Premium: Madeira vendido (5939)
 jun 12, 00:47 	Mundo 73	 Transferir 	 4 	 2401 	Troca Premium: Madeira vendido (2262)
 jun 12, 00:46 	Mundo 73	 Transferir 	 6 	 2397 	Troca Premium: Ferro vendido (3246)
 jun 11, 23:46 	Mundo 73	 Transferir 	 8 	 2391 	Troca Premium: Madeira vendido (4563)
 jun 11, 23:46 	Mundo 73	 Transferir 	 16 	 2383 	Troca Premium: Ferro vendido (7700)
 jun 11, 22:52 	Mundo 73	 Transferir 	 12 	 2367 	Troca Premium: Ferro vendido (5576)
 jun 11, 22:52 	Mundo 73	 Transferir 	 9 	 2355 	Troca Premium: Madeira vendido (4262)
 jun 11, 22:52 	Mundo 73	 Transferir 	 21 	 2346 	Troca Premium: Argila vendido (10557)
 jun 11, 22:15 	Mundo 73	 Transferir 	 8 	 2325 	Troca Premium: Ferro vendido (3818)
 jun 11, 22:14 	Mundo 73	 Transferir 	 10 	 2317 	Troca Premium: Argila vendido (4736)
 jun 11, 22:14 	Mundo 73	 Transferir 	 9 	 2307 	Troca Premium: Madeira vendido (4214)
 jun 11, 22:14 	Mundo 73	 Transferir 	 2 	 2298 	Troca Premium: Argila vendido (923)
 jun 11, 22:14 	Mundo 73	 Transferir 	 13 	 2296 	Troca Premium: Madeira vendido (5806)
 jun 11, 20:27 	Mundo 73	 Transferir 	 10 	 2283 	Troca Premium: Ferro vendido (4953)
 jun 11, 20:26 	Mundo 73	 Transferir 	 10 	 2273 	Troca Premium: Madeira vendido (5612)
 jun 11, 19:20 	Mundo 73	 Transferir 	 23 	 2263 	Troca Premium: Ferro vendido (12738)
 jun 11, 18:52 	Mundo 73	 Transferir 	 9 	 2240 	Troca Premium: Argila vendido (5855)
 jun 11, 18:51 	Mundo 73	 Transferir 	 17 	 2231 	Troca Premium: Madeira vendido (10689)
 jun 11, 18:51 	Mundo 73	 Transferir 	 23 	 2214 	Troca Premium: Ferro vendido (14693)
 jun 11, 16:03 	Mundo 73	 Transferir 	 7 	 2191 	Troca Premium: Ferro vendido (3821)
 jun 11, 16:03 	Mundo 73	 Transferir 	 12 	 2184 	Troca Premium: Argila vendido (6928)
 jun 11, 15:02 	Mundo 73	 Transferir 	 8 	 2172 	Troca Premium: Ferro vendido (3673)
 jun 11, 14:15 	Mundo 73	 Transferir 	 17 	 2164 	Troca Premium: Madeira vendido (6781)
 jun 11, 14:15 	Mundo 73	 Transferir 	 42 	 2147 	Troca Premium: Argila vendido (17747)
 jun 11, 14:15 	Mundo 73	 Transferir 	 61 	 2105 	Troca Premium: Madeira vendido (21775)
 jun 11, 14:14 	Mundo 73	 Transferir 	 4 	 2044 	Troca Premium: Madeira vendido (1551)
 jun 11, 14:14 	Mundo 73	 Transferir 	 45 	 2040 	Troca Premium: Argila vendido (16670)
 jun 11, 04:50 	Mundo 73	 Transferir 	 4 	 1995 	Troca Premium: Argila vendido (1989)
 jun 11, 04:50 	Mundo 73	 Transferir 	 6 	 1991 	Troca Premium: Argila vendido (2916)
 jun 11, 03:56 	Mundo 73	 Transferir 	 6 	 1985 	Troca Premium: Madeira vendido (2613)
 jun 11, 03:56 	Mundo 73	 Transferir 	 9 	 1979 	Troca Premium: Ferro vendido (3805)
 jun 11, 03:56 	Mundo 73	 Transferir 	 17 	 1970 	Troca Premium: Argila vendido (7157)
 jun 11, 03:55 	Mundo 73	 Transferir 	 20 	 1953 	Troca Premium: Madeira vendido (8308)
 jun 11, 01:35 	Mundo 73	 Transferir 	 8 	 1933 	Troca Premium: Ferro vendido (3628)
 jun 11, 01:35 	Mundo 73	 Transferir 	 11 	 1925 	Troca Premium: Argila vendido (4937)
 jun 11, 01:35 	Mundo 73	 Transferir 	 10 	 1914 	Troca Premium: Madeira vendido (4629)
 jun 11, 01:13 	Mundo 73	 Transferir 	 17 	 1904 	Troca Premium: Ferro vendido (8081)
 jun 11, 00:45 	Mundo 73	 Transferir 	 4 	 1887 	Troca Premium: Argila vendido (1611)
 jun 11, 00:44 	Mundo 73	 Transferir 	 8 	 1883 	Troca Premium: Madeira vendido (3316)
 jun 11, 00:44 	Mundo 73	 Transferir 	 10 	 1875 	Troca Premium: Argila vendido (3844)
 jun 11, 00:44 	Mundo 73	 Transferir 	 15 	 1865 	Troca Premium: Argila vendido (5574)
 jun 11, 00:44 	Mundo 73	 Transferir 	 19 	 1850 	Troca Premium: Madeira vendido (7532)
 jun 10, 21:48 	Mundo 73	 Transferir 	 1 	 1831 	Troca Premium: Madeira vendido (384)
 jun 10, 21:47 	Mundo 73	 Transferir 	 4 	 1830 	Troca Premium: Madeira vendido (1526)
 jun 10, 21:47 	Mundo 73	 Transferir 	 8 	 1826 	Troca Premium: Argila vendido (3126)
 jun 10, 21:47 	Mundo 73	 Transferir 	 5 	 1818 	Troca Premium: Argila vendido (1918)
 jun 10, 21:38 	Mundo 73	 Transferir 	 4 	 1813 	Troca Premium: Ferro vendido (1462)
 jun 10, 21:38 	Mundo 73	 Transferir 	 2 	 1809 	Troca Premium: Ferro vendido (725)
 jun 10, 20:58 	Mundo 73	 Transferir 	 5 	 1807 	Troca Premium: Ferro vendido (2452)
 jun 10, 20:58 	Mundo 73	 Transferir 	 14 	 1802 	Troca Premium: Ferro vendido (6586)
 jun 10, 20:58 	Mundo 73	 Transferir 	 15 	 1788 	Troca Premium: Madeira vendido (6833)
 jun 10, 20:16 	Mundo 73	 Transferir 	 3 	 1773 	Troca Premium: Argila vendido (1549)
 jun 10, 20:13 	Mundo 73	 Transferir 	 8 	 1770 	Troca Premium: Ferro vendido (4474)
 jun 10, 20:13 	Mundo 73	 Transferir 	 32 	 1762 	Troca Premium: Madeira vendido (19580)
 jun 10, 19:38 	Mundo 73	 Transferir 	 33 	 1730 	Troca Premium: Argila vendido (18663)
 jun 10, 16:57 	Mundo 73	 Transferir 	 12 	 1697 	Troca Premium: Argila vendido (4792)
 jun 10, 15:31 	Mundo 73	 Transferir 	 4 	 1685 	Troca Premium: Argila vendido (1850)
 jun 10, 15:31 	Mundo 73	 Transferir 	 4 	 1681 	Troca Premium: Madeira vendido (1871)
 jun 10, 15:24 	Mundo 73	 Transferir 	 7 	 1677 	Troca Premium: Madeira vendido (3867)
 jun 10, 15:23 	Mundo 73	 Transferir 	 9 	 1670 	Troca Premium: Ferro vendido (4641)
 jun 10, 15:23 	Mundo 73	 Transferir 	 9 	 1661 	Troca Premium: Argila vendido (4625)
 jun 10, 15:22 	Mundo 73	 Transferir 	 21 	 1652 	Troca Premium: Argila vendido (13658)
 jun 10, 15:21 	Mundo 73	 Transferir 	 24 	 1631 	Troca Premium: Ferro vendido (14627)
 jun 10, 15:21 	Mundo 73	 Transferir 	 23 	 1607 	Troca Premium: Madeira vendido (14512)
 jun 10, 07:20 	Mundo 73	 Transferir 	 1 	 1584 	Troca Premium: Argila vendido (674)
 jun 10, 07:20 	Mundo 73	 Transferir 	 4 	 1583 	Troca Premium: Argila vendido (3030)
 jun 10, 07:20 	Mundo 73	 Transferir 	 17 	 1579 	Troca Premium: Ferro vendido (12507)
 jun 10, 07:20 	Mundo 73	 Transferir 	 19 	 1562 	Troca Premium: Argila vendido (12922)
 jun 10, 07:20 	Mundo 73	 Transferir 	 18 	 1543 	Troca Premium: Madeira vendido (12745)
 jun 10, 07:19 	Mundo 73	 Transferir 	 6 	 1525 	Troca Premium: Ferro vendido (3961)
 jun 10, 07:19 	Mundo 73	 Transferir 	 6 	 1519 	Troca Premium: Argila vendido (3687)
 jun 10, 07:19 	Mundo 73	 Transferir 	 6 	 1513 	Troca Premium: Madeira vendido (3799)
 jun 10, 07:19 	Mundo 73	 Transferir 	 12 	 1507 	Troca Premium: Argila vendido (6947)
 jun 10, 07:19 	Mundo 73	 Transferir 	 11 	 1495 	Troca Premium: Madeira vendido (6534)
 jun 10, 04:48 	Mundo 73	 Transferir 	 7 	 1484 	Troca Premium: Ferro vendido (4373)
 jun 10, 02:51 	Mundo 73	 Transferir 	 2 	 1477 	Troca Premium: Madeira vendido (992)
 jun 10, 02:51 	Mundo 73	 Transferir 	 13 	 1475 	Troca Premium: Ferro vendido (7801)
 jun 10, 02:51 	Mundo 73	 Transferir 	 20 	 1462 	Troca Premium: Argila vendido (9915)
 jun 10, 02:51 	Mundo 73	 Transferir 	 16 	 1442 	Troca Premium: Madeira vendido (7609)
 jun 10, 02:51 	Mundo 73	 Transferir 	 5 	 1426 	Troca Premium: Ferro vendido (2830)
 jun 10, 02:51 	Mundo 73	 Transferir 	 9 	 1421 	Troca Premium: Argila vendido (5676)
 jun 10, 02:50 	Mundo 73	 Transferir 	 8 	 1412 	Troca Premium: Madeira vendido (4949)
 jun 10, 02:26 	Mundo 73	 Transferir 	 5 	 1404 	Troca Premium: Madeira vendido (2602)
 jun 10, 02:25 	Mundo 73	 Transferir 	 36 	 1399 	Troca Premium: Ferro vendido (17202)
 jun 10, 02:25 	Mundo 73	 Transferir 	 22 	 1363 	Troca Premium: Argila vendido (10059)
 jun 10, 02:25 	Mundo 73	 Transferir 	 22 	 1341 	Troca Premium: Madeira vendido (10700)
 jun 10, 00:28 	Mundo 73	 Transferir 	 7 	 1319 	Troca Premium: Madeira vendido (2934)
 jun 09, 23:48 	Mundo 73	 Transferir 	 5 	 1312 	Troca Premium: Ferro vendido (1752)
 jun 09, 22:49 	Mundo 73	 Transferir 	 11 	 1307 	Troca Premium: Argila vendido (4892)
 jun 09, 22:25 	Mundo 73	 Transferir 	 6 	 1296 	Troca Premium: Madeira vendido (2626)
 jun 09, 22:15 	Mundo 73	 Transferir 	 4 	 1290 	Troca Premium: Ferro vendido (1640)
 jun 09, 22:14 	Mundo 73	 Transferir 	 11 	 1286 	Troca Premium: Madeira vendido (4534)
 jun 09, 22:14 	Mundo 73	 Transferir 	 12 	 1275 	Troca Premium: Ferro vendido (4800)
 jun 09, 21:49 	Mundo 73	 Transferir 	 12 	 1263 	Troca Premium: Argila vendido (5994)
 jun 09, 21:49 	Mundo 73	 Transferir 	 22 	 1251 	Troca Premium: Madeira vendido (10852)
 jun 09, 21:49 	Mundo 73	 Transferir 	 6 	 1229 	Troca Premium: Madeira vendido (2883)
 jun 09, 21:49 	Mundo 73	 Transferir 	 14 	 1223 	Troca Premium: Argila vendido (6600)
 jun 09, 21:08 	Mundo 73	 Transferir 	 8 	 1209 	Troca Premium: Madeira vendido (3769)
 jun 09, 21:03 	Mundo 73	 Transferir 	 9 	 1201 	Troca Premium: Ferro vendido (3720)
 jun 09, 20:10 	Mundo 73	 Transferir 	 9 	 1192 	Troca Premium: Argila vendido (4663)
 jun 09, 20:02 	Mundo 73	 Transferir 	 11 	 1183 	Troca Premium: Ferro vendido (4969)
 jun 09, 20:02 	Mundo 73	 Transferir 	 12 	 1172 	Troca Premium: Madeira vendido (5594)
 jun 09, 20:02 	Mundo 73	 Transferir 	 28 	 1160 	Troca Premium: Argila vendido (15343)
 jun 09, 17:45 	Mundo 73	 Transferir 	 7 	 1132 	Troca Premium: Argila vendido (3624)
 jun 09, 17:45 	Mundo 73	 Transferir 	 2 	 1125 	Troca Premium: Ferro vendido (947)
 jun 09, 17:45 	Mundo 73	 Transferir 	 9 	 1123 	Troca Premium: Madeira vendido (4767)
 jun 09, 17:45 	Mundo 73	 Transferir 	 10 	 1114 	Troca Premium: Ferro vendido (4623)
 jun 09, 17:45 	Mundo 73	 Transferir 	 8 	 1104 	Troca Premium: Argila vendido (3993)
 jun 09, 17:39 	Mundo 73	 Transferir 	 6 	 1096 	Troca Premium: Ferro vendido (2905)
 jun 09, 17:39 	Mundo 73	 Transferir 	 13 	 1090 	Troca Premium: Madeira vendido (6973)
 jun 09, 17:39 	Mundo 73	 Transferir 	 8 	 1077 	Troca Premium: Ferro vendido (3759)
 jun 09, 15:37 	Mundo 73	 Transferir 	 4 	 1069 	Troca Premium: Ferro vendido (1699)
 jun 09, 15:37 	Mundo 73	 Transferir 	 16 	 1065 	Troca Premium: Argila vendido (8544)
 jun 09, 15:32 	Mundo 73	 Transferir 	 9 	 1049 	Troca Premium: Madeira vendido (5751)
 jun 09, 15:31 	Mundo 73	 Transferir 	 8 	 1040 	Troca Premium: Argila vendido (5895)
 jun 09, 15:31 	Mundo 73	 Transferir 	 9 	 1032 	Troca Premium: Ferro vendido (5875)
 jun 09, 15:31 	Mundo 73	 Transferir 	 12 	 1023 	Troca Premium: Madeira vendido (8021)
 jun 09, 15:31 	Mundo 73	 Transferir 	 13 	 1011 	Troca Premium: Argila vendido (7815)
 jun 09, 15:31 	Mundo 73	 Transferir 	 16 	 998 	Troca Premium: Ferro vendido (9534)
 jun 09, 11:15 	Mundo 73	 Transferir 	 13 	 982 	Troca Premium: Ferro vendido (5837)
 jun 09, 11:15 	Mundo 73	 Transferir 	 29 	 969 	Troca Premium: Argila vendido (14817)
 jun 09, 11:15 	Mundo 73	 Transferir 	 29 	 940 	Troca Premium: Madeira vendido (13634)
 jun 09, 02:56 	Mundo 73	 Transferir 	 7 	 911 	Troca Premium: Argila vendido (2924)
 jun 09, 02:56 	Mundo 73	 Transferir 	 6 	 904 	Troca Premium: Madeira vendido (2670)
 jun 09, 02:56 	Mundo 73	 Transferir 	 7 	 898 	Troca Premium: Ferro vendido (2907)
 jun 09, 02:55 	Mundo 73	 Transferir 	 12 	 891 	Troca Premium: Argila vendido (4863)
 jun 09, 02:55 	Mundo 73	 Transferir 	 16 	 879 	Troca Premium: Ferro vendido (5896)
 jun 09, 02:55 	Mundo 73	 Transferir 	 12 	 863 	Troca Premium: Argila vendido (4692)
 jun 09, 02:55 	Mundo 73	 Transferir 	 12 	 851 	Troca Premium: Madeira vendido (4679)
 jun 09, 02:24 	Mundo 73	 Transferir 	 20 	 839 	Troca Premium: Argila vendido (10219)
 jun 09, 02:24 	Mundo 73	 Transferir 	 25 	 819 	Troca Premium: Madeira vendido (13391)
 jun 09, 01:42 	Mundo 73	 Transferir 	 2 	 794 	Troca Premium: Madeira vendido (972)
 jun 09, 01:42 	Mundo 73	 Transferir 	 4 	 792 	Troca Premium: Ferro vendido (1925)
 jun 09, 01:42 	Mundo 73	 Transferir 	 4 	 788 	Troca Premium: Argila vendido (1768)
 jun 08, 23:37 	Mundo 73	 Transferir 	 3 	 784 	Troca Premium: Argila vendido (1004)
 jun 08, 23:17 	Mundo 73	 Transferir 	 3 	 781 	Troca Premium: Argila vendido (1543)
 jun 08, 23:17 	Mundo 73	 Transferir 	 2 	 778 	Troca Premium: Ferro vendido (928)
 jun 08, 23:17 	Mundo 73	 Transferir 	 6 	 776 	Troca Premium: Madeira vendido (3162)
 jun 08, 23:17 	Mundo 73	 Transferir 	 4 	 770 	Troca Premium: Argila vendido (2022)
 jun 08, 23:17 	Mundo 73	 Transferir 	 6 	 766 	Troca Premium: Ferro vendido (2741)
 jun 08, 23:17 	Mundo 73	 Transferir 	 6 	 760 	Troca Premium: Argila vendido (2963)
 jun 08, 22:22 	Mundo 73	 Transferir 	 12 	 754 	Troca Premium: Madeira vendido (6894)
 jun 08, 22:22 	Mundo 73	 Transferir 	 10 	 742 	Troca Premium: Argila vendido (5674)
 jun 08, 22:22 	Mundo 73	 Transferir 	 14 	 732 	Troca Premium: Ferro vendido (7613)
